    1.5201    11.1813     1.7145     -.0726     1.9997      .3580     -.9672    12.2282     5.0719     8.3297     8.7750      .8873     8.0797    -4.4593     7.3297    12.7438      .8280     7.1969    -1.2289     8.6657    -9.1000
    4.4095     7.5736     5.5267     4.6673     4.2220     9.5892    -5.5163     3.6282     5.7923     1.6986     3.7142     2.4173    11.2454   -11.4421     9.7454    15.7611     1.9251    11.5267    -7.4342     8.6673   -13.2233
    1.4907     1.1939    -2.5542    -1.1225      .2759     3.1079     -.3647     6.2642     2.0454     6.3423     2.2642     -.6069     8.1861    -8.6811     9.9517    11.2329     4.3970    11.5767    -3.9057     8.0611   -17.6108
    8.1746     4.1511     5.3621    -2.3308    -2.1077     4.3152    -8.1458     7.6277     8.2214     4.4167     4.0886    -2.4216     1.2058   -12.0442     2.9011    -1.1399    -5.4543     4.2136    -6.7395     5.9089    -9.6067
    5.7285     5.8379     4.8691      .8965    -1.4492    -2.0615    -6.3574     5.9629     -.4668     1.5410     3.1816    -5.8027     3.3770   -10.3574     3.3535    -3.9570    -4.4121     -.4785   -12.3965     8.4785    -6.6152
    9.6776      .8651     5.4120     1.1229    -1.8136     4.0292    -3.9064     4.2088    -3.0577    -3.7658      .8378    -8.9552     2.9198   -11.6974     2.4042    -6.5568    -6.4474     6.8651   -16.1349    10.9901      .6590
    3.9762    -3.4047     1.1597     -.1899     -.6440     3.1637    -3.1098      .7496    -2.8481    -3.9692     5.6558    -9.1254     7.6715    -9.9379      .5972    -4.1410    -8.4544     3.1394     4.0847     3.1160      .8738
    3.2640    -2.3571    -5.8532     2.5336    -6.9703     3.3812    -8.8766     3.3578    -2.7204    -4.8024     9.6468   -16.6188     1.2231    -1.3106    -2.5113     2.1059    -5.8785     2.0278      .5258     3.4965      .8071
     .3000    -3.3885    -2.3924     2.6623    -8.4314     4.5373   -13.2596     2.6349     2.2096    -7.7904     1.9674      .2657     -.0967    -2.4975      .6139      .0331    -1.6127    -1.1908    -2.6225     2.3541     -.6713
    2.8047    -3.3320    -3.3633     2.9531   -14.0508      .8108     -.9089    -1.7878     -.1955    -2.9851     1.5091    -1.4948     1.3880    -1.9421     8.8665     -.1608     1.4915    -2.0515    -4.8523     -.2282    -2.0983
    4.3218    -1.4514    -4.0100     1.6462     1.6433      .7190    -2.9475     3.8611     -.0471     1.4646      .6440    -3.7756      .2761     -.3010    12.4978    -5.5647     1.2297    -2.3694    -2.6077    -2.1780     -.6604
     .7928    -1.2661     -.2475     -.0278     -.7798     3.8199    -1.6645    12.1011    -3.6879     3.3863    -2.3247    -4.1255    -3.8208     -.1235     8.2964    -6.6176      .1328    -3.7739    -1.8715    -1.4809     -.5122
    7.2154    -2.2924     3.2583    -1.7924    -3.1479    -1.0249     -.1284    12.1919    -7.2143     1.7173    -4.2612    -3.8940    -1.4663     -.9487     4.1451    -5.4721    -2.2924    -2.8549      .0537    -3.0620    -1.2983
   11.6206    -5.4497     4.1323    -4.4497    -4.8482    -2.5826    -1.3833     5.6909    -5.7310    -1.3032    -4.3013    -1.3794    -1.8052     -.4654     1.5737    -6.3872     -.8892     2.8706      .4859    -1.2954      .3405
    9.0435    -6.6206      .9461    -5.7300    -4.9487      .4112     -.9526     2.8286    -5.7300    -2.0464     -.5796      .6842    -4.2456    -2.6401     2.2876    -4.7690    -2.0268     2.8169    -8.0815     2.9458    -6.7300
    2.8369    -5.6905     -.2676    -4.6045      .6236    -2.9990     -.1397     1.2051    -5.4326     -.2774     2.7822     3.5869    -1.8076     -.0176     3.3017    -2.2412    -2.5694     1.0303    -7.7139     4.1377    -3.6201
 
     .5045     8.1735     2.1481     6.4313     1.8610     2.5563     -.4808    10.8219    11.6344     9.1500     5.1578     2.9899     6.1578     -.7621     2.1305     7.5797     -.5941    10.1188     1.3268     7.1110    -6.2328
    6.4329     4.0579     2.1517     8.5892     4.0111     6.6361      .4798     8.9954     9.0423      .1790     6.8236     3.7454     7.0423    -8.4811     8.6048    12.1517     2.8001    16.8548    -4.2428    11.9954   -12.6296
    -.2436    -1.8921     1.7798     1.1861     -.1264     -.2241     -.7124     5.9361     2.6783     5.6236     5.8892      .5884     4.8579    -8.8530    14.8267     9.3892     1.3111    13.2954    -3.0136    12.0298   -13.3764
    5.9871     4.8777     6.2996     1.1785      .9128    -6.4856    -3.9309     6.3152     8.2683     4.8855     6.6902    -2.0549     2.4402   -10.1926     2.9402      .2332    -1.0657    -3.4133    -8.9739     7.5496   -12.6848
   11.8379     5.2441     9.5723     2.8301     -.0605      .1270    -4.1660     2.4238     -.0020     3.9707      .2676    -4.9473     3.8301    -6.4863     3.1582      .7559    -2.3037   -10.3652   -10.6465     7.1191    -9.8262
   -2.2094     2.0760     7.8182     -.8048    -1.2999     3.5917    -1.0118     4.4276     -.7853     -.3185    -1.9976    -8.0412     2.6620   -11.2755     5.1073    -3.5079    -4.6544     1.9198   -12.8693    10.3182     2.3738
    1.2066    -1.0917     3.0387    -2.3823    -3.4242     4.5933    -1.8627     1.4840    -2.0756     -.5346     -.4770    -9.1254     4.7965   -12.4535     4.9449    -4.1098    -9.0794     3.1628     4.4050     3.6160      .4558
    2.9515     -.5661     -.9562     -.6745    -5.7203      .9281    -9.8219     5.6859      .1859    -2.7399     -.6666   -13.8375     2.0668     -.1099    -1.9576     2.9731    -3.5113     2.4028      .2602     1.5590      .5786
