-10.0611,-4.1315,0.0689,4.3373,-4.9752,8.1264,0.5551,6.681,5.5717,0.518,8.6576,-0.899,9.142,6.181,8.0092,3.7513,10.0482,0.8861,4.7826,3.9506,11.9232
-1.2149,2.5801,0.2597,10.9336,-3.6758,2.4492,4.9765,0.1308,5.957,5.8164,0.0097,1.2086,3.3515,3.4023,4.9336,-3.3164,8.2851,-4.168,8.8554,-0.416,12.7773
-1.9696,-6.4696,-6.3212,-4.7587,-0.6591,-0.6591,-1.1298,4.1515,-8.9306,10.4132,-9.1962,7.2491,-1.4384,3.9601,5.0616,-7.079,12.335,-4.9462,16.7882,-5.0399,14.0225
4.2384,-12.246,5.2149,-3.5468,5.8321,1.1837,1.9454,1.2501,-5.8241,10.2852,-3.1484,14.9102,-5.3007,7.7852,-7.4023,-0.9273,8.8009,-2.2401,20.4571,-3.6249,19.2384
-0.3507,-2.2706,5.4599,-2.1925,7.2411,-3.005,2.413,-6.6417,-2.4737,4.7099,-0.6378,15.3895,-4.8214,13.7489,-3.5558,0.5849,-5.6808,-3.0948,13.7802,-0.9874,14.6552
-4.0505,-4.0193,1.8674,-3.0349,8.2698,-4.1521,7.301,-6.8474,-0.6599,-3.9646,-2.242,12.1995,-2.3865,13.9338,-6.9334,-0.1677,-2.6755,-1.5545,2.7737,-2.6755,3.147
-6.4999,-3.8124,-5.7578,-3.9921,4.9063,-1.8867,12.1172,-1.7968,-1.2226,-3.0312,0.1251,7.1954,1.1172,6.4297,-1.3788,-1.0663,-0.07,5.1859,0.2083,2.1585,5.0062
-4.1535,-2.3273,-3.38,-2.8292,9.1825,-1.2257,10.3856,-2.4035,-2.2179,-1.9269,-3.5324,2.5419,4.3881,2.181,-4.5846,-2.0309,2.8256,1.6888,0.7396,-0.6578,5.6146
-2.1946,0.0095,-2.3021,-6.0316,6.0309,0.2848,4.0075,-2.8597,-0.4858,2.1783,1.9869,0.7681,3.108,4.5377,-11.0561,-0.9555,5.6314,7.1314,-1.1362,-0.4077,1.108
-2.0677,1.2972,-1.7243,-4.1091,-1.3777,1.1506,0.7795,-4.3572,-3.5564,7.1037,0.5256,2.1428,4.3225,4.4475,-8.115,-0.117,1.2952,6.4944,-3.5213,-1.4265,-2.2097
-2.8201,-0.4772,6.8265,-2.5661,1.2991,0.3304,3.803,-8.5251,-2.0231,3.5452,4.8811,-0.6374,1.7093,-0.197,-5.947,0.3167,-2.3454,1.9437,0.0081,-1.6813,1.721
-5.6654,0.4547,8.2643,-1.6556,3.2448,1.1451,2.3893,-9.9701,-3.9935,-0.9642,0.6715,-4.2904,2.6393,-0.2764,-4.3451,-0.465,-6.7904,0.1603,-0.7323,0.7819,2.276
-11.1131,-1.4081,-0.3436,-3.3436,-2.1874,1.965,-0.6805,-4.7303,-2.4842,-6.0819,0.1029,-2.3788,1.797,1.7033,-2.1834,0.9201,-3.6327,2.0138,0.0324,-0.6268,2.633
-8.4494,-4.8634,-3.4884,-2.7853,-6.7306,2.6327,-1.3068,-2.8322,-1.8634,-5.2072,-1.5958,0.7792,0.8338,2.1014,-1.9259,2.1854,0.9237,-1.1818,-2.2814,-0.193,5.9803
-2.6977,-3.0454,-6.2915,-5.3774,-4.4321,1.5796,1.0044,-1.9829,-1.6137,-3.1782,3.3452,-0.8159,-0.6303,2.4077,-1.479,4.021,2.8921,1.2593,5.6617,-0.7876,4.2867
-1.3372,-1.7708,-3.2552,-2.0013,1.114,-0.4301,1.5065,-2.8763,3.1159,2.6354,-0.8528,0.4509,-0.1085,6.6901,-1.3069,1.4519,-1.4173,3.1003,1.4675,1.1862,-1.7122

